Country,Region,Year,AvgTemperature,TempChange,BaselineTemperature,TotalTempChange,RegionalAverageTemperature,RegionalTempChange
Afghanistan,Asia,2000,12.59,0.0,12.59,0.0,17.43,0.0
Afghanistan,Asia,2001,13.41,0.8200000000000003,12.59,0.8200000000000003,17.732857142857142,0.3028571428571425
Afghanistan,Asia,2002,13.05,-0.35999999999999943,12.59,0.46000000000000085,17.760952380952382,0.02809523809523995
Afghanistan,Asia,2003,12.49,-0.5600000000000005,12.59,-0.09999999999999964,17.526190476190475,-0.23476190476190695
Afghanistan,Asia,2004,13.23,0.7400000000000002,12.59,0.6400000000000006,17.845238095238095,0.3190476190476197
Afghanistan,Asia,2005,11.97,-1.2599999999999998,12.59,-0.6199999999999992,17.634761904761906,-0.21047619047618937
Afghanistan,Asia,2006,13.43,1.459999999999999,12.59,0.8399999999999999,17.86047619047619,0.22571428571428598
Afghanistan,Asia,2007,12.56,-0.8699999999999992,12.59,-0.02999999999999936,17.841428571428573,-0.01904761904761898
Afghanistan,Asia,2008,12.71,0.15000000000000036,12.59,0.120000000000001,17.667142857142856,-0.17428571428571615
Afghanistan,Asia,2009,12.35,-0.3600000000000012,12.59,-0.2400000000000002,17.87761904761905,0.21047619047619293
Afghanistan,Asia,2010,13.42,1.0700000000000003,12.59,0.8300000000000001,18.282380952380954,0.4047619047619051
Afghanistan,Asia,2011,13.0,-0.41999999999999993,12.59,0.41000000000000014,17.41190476190476,-0.8704761904761931
Afghanistan,Asia,2012,11.63,-1.3699999999999992,12.59,-0.9599999999999991,17.585714285714285,0.17380952380952408
Afghanistan,Asia,2013,12.84,1.209999999999999,12.59,0.25,17.85904761904762,0.27333333333333343
Afghanistan,Asia,2014,12.3,-0.5399999999999991,12.59,-0.28999999999999915,17.785714285714285,-0.07333333333333414
Afghanistan,Asia,2015,12.98,0.6799999999999997,12.59,0.39000000000000057,18.11,0.32428571428571473
Afghanistan,Asia,2016,13.77,0.7899999999999991,12.59,1.1799999999999997,18.394761904761907,0.28476190476190766
Afghanistan,Asia,2017,13.53,-0.2400000000000002,12.59,0.9399999999999995,18.068571428571428,-0.3261904761904795
Afghanistan,Asia,2018,13.74,0.21000000000000085,12.59,1.1500000000000004,18.12047619047619,0.0519047619047619
Afghanistan,Asia,2019,12.96,-0.7799999999999994,12.59,0.370000000000001,18.27952380952381,0.15904761904761955
Afghanistan,Asia,2020,12.36,-0.6000000000000014,12.59,-0.23000000000000043,18.156190476190474,-0.12333333333333485
